group,advertiser,landing,date,spend,hvu,cphq
组7 The best intimacy,CHJ,/multisensory/kink-fetish/4689-mastering-anilingus-sensual-guide-to-rimming-pleasure,2026-04-20,14.69,2,7.34
组8 山间,HNN,scene/680577,2026-04-20,8.44,0,
组9 金项圈,HNN,scene/578113,2026-04-20,8.29,0,
组15 Power Shift,HZM,scene/922306,2026-04-20,0.33,0,
组17 18 Sensual,CHJ,/multisensory/kink-fetish/4686-18-sensual-couch-sex-ideas-to-make-intimate-moments-feel-closer?page=1,2026-04-20,16.1,11,1.46
组18 红玫瑰,HNN,scene/613826,2026-04-20,9.32,0,
组19 Top Predator's,HZM,scene/922306,2026-04-20,0.37,0,
组20 A Softer,CHJ,/multisensory/solo-pleasure/4763-pillow-humping-essentials-guide-to-solo-pleasure,2026-04-20,18.58,8,2.32
组21 职场,HNN,/exp-app/scene/1977563229444947970,2026-04-20,1.77,0,
组22 Voyeurism,CHJ,/multisensory/voyeurism/735-seen-body-why-is-voyeurism,2026-04-20,11.04,0,
组23 工作室,HNN,/exp-app/scene/1972149814470684674,2026-04-20,0.34,1,0.34
组25 强迫休息,HNN,/exp-app/scene/2013638045763465217,2026-04-20,9.97,0,
组26 Surrender,HZM,/exp-app/scene/2034147121168449537,2026-04-20,9.27,0,
组27 performance,CHJ,/multisensory/sensory-immersion/4312-architecture-of-arousal,2026-04-20,11.09,2,5.54
组28 牛角,HNN,/exp-app/scene/1968161107381112833,2026-04-20,8.38,0,
组29 性爱疗愈,HZM,/multisensory/sexual-wellness/1474-can-sex-truly-alleviate-pain,2026-04-20,17.75,1,17.75
组30 流汗男,HNN,/exp-app/scene/1967788094903078914,2026-04-20,10.63,0,
组31 天使,HZM,/exp-app/scene/1968879137365995521,2026-04-20,13.83,0,
组32 confidence,CHJ,/multisensory/power-dynamics/4314-art-of-instrument-mastering-sensual-blowjob-power-dynamics?page=2,2026-04-20,13.81,4,3.45
组33 黑男,HNN,/exp-app/scene/2046070030933757953,2026-04-20,3.92,2,1.96
组35 15 Ideas,CHJ,/multisensory/forbidden-fruit/4424-architecture-of-surrender-15-ideas-for-safe-sensual-self-bondage?page=2,2026-04-20,4.93,2,2.46
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-21,9.94,12,0.83
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-21,10.72,9,1.19
组7 The best intimacy,CHJ,/multisensory/kink-fetish/4689-mastering-anilingus-sensual-guide-to-rimming-pleasure,2026-04-21,10.77,5,2.15
组8 山间,HNN,scene/680577,2026-04-21,4.64,1,4.64
组17 18 Sensual,CHJ,/multisensory/kink-fetish/4686-18-sensual-couch-sex-ideas-to-make-intimate-moments-feel-closer?page=1,2026-04-21,8.88,17,0.52
组18 红玫瑰,HNN,scene/613826,2026-04-21,10.51,0,
